Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Departure,Arrival,Carrier
HNL,SEA,2019-12-14,272,1,(LAX),23.70,8:10a,9:52a,American Airlines
HNL,SEA,2019-12-14,273,1,(SJC),14.92,3:40p,8:35a,Alaska Airlines
HNL,SEA,2019-12-14,285,1,(SJC),14.33,3:40p,8:00a,Alaska Airlines
HNL,SEA,2019-12-14,285,1,(SFO),14.95,10:00p,2:57p,United Airlines
HNL,SEA,2019-12-14,285,1,(SFO),14.98,3:45p,8:44a,United Airlines
HNL,SEA,2019-12-14,285,1,(SFO),15.42,2:35p,8:00a,Alaska Airlines
HNL,SEA,2019-12-14,287,1,(SJC),18.92,3:40p,12:35p,Alaska Airlines
HNL,SEA,2019-12-14,292,1,(SFO),16.00,2:35p,8:35a,Alaska Airlines
HNL,SEA,2019-12-14,293,1,(LAX),12.78,8:10a,10:57p,American Airlines
HNL,SEA,2019-12-14,293,1,(LAX),17.78,2:05p,9:52a,American Airlines
HNL,SEA,2019-12-14,293,1,(PHX),20.00,10:00p,8:00p,American Airlines
HNL,SEA,2019-12-15,254,0,(),5.67,10:20p,6:00a,Alaska Airlines
HNL,SEA,2019-12-15,254,0,(),5.75,2:20p,10:05p,Hawaiian Airlines
HNL,SEA,2019-12-15,254,0,(),5.75,2:20p,10:05p,Hawaiian Airlines
HNL,SEA,2019-12-15,263,1,(SFO),8.45,8:00a,6:27p,United Airlines
HNL,SEA,2019-12-15,263,1,(SFO),8.73,10:00p,8:44a,United Airlines
HNL,SEA,2019-12-15,263,1,(SFO),9.07,1:55p,12:59a,United Airlines
HNL,SEA,2019-12-15,263,1,(LAX),9.38,7:00a,6:23p,United Airlines
HNL,SEA,2019-12-15,263,1,(LAX),11.77,10:50p,12:36p,United Airlines
HNL,SEA,2019-12-15,263,1,(PHX),13.68,10:00p,1:41p,American Airlines
HNL,SEA,2019-12-15,263,1,(LAX),16.62,10:20p,4:57p,American Airlines
HNL,SEA,2019-12-15,267,2,"(SFO, LAX)",12.60,10:00p,12:36p,United Airlines
HNL,SEA,2019-12-15,272,1,(LAX),22.62,10:20p,10:57p,American Airlines
HNL,SEA,2019-12-15,272,1,(LAX),24.87,2:05p,4:57p,American Airlines
HNL,SEA,2019-12-15,273,1,(SJC),14.92,3:40p,8:35a,Alaska Airlines
HNL,SEA,2019-12-15,274,1,(PHX),23.43,10:00p,11:26p,American Airlines
HNL,SEA,2019-12-15,277,0,(),5.67,10:20p,6:00a,Alaska Airlines
HNL,SEA,2019-12-15,285,1,(SJC),14.33,3:40p,8:00a,Alaska Airlines
HNL,SEA,2019-12-15,285,1,(SFO),11.92,8:00a,9:55p,United Airlines
HNL,SEA,2019-12-15,285,1,(SFO),13.62,10:00p,1:37p,United Airlines
HNL,SEA,2019-12-15,285,1,(SFO),14.98,3:45p,8:44a,United Airlines
HNL,LIH,2019-12-14,81,0,(),0.67,5:24a,6:04a,Hawaiian Airlines
HNL,LIH,2019-12-14,81,0,(),0.67,5:24a,6:04a,Hawaiian Airlines
HNL,LIH,2019-12-14,85,0,(),0.68,6:10a,6:51a,Hawaiian Airlines
HNL,LIH,2019-12-14,85,0,(),0.68,6:10a,6:51a,Hawaiian Airlines
HNL,LIH,2019-12-14,95,0,(),0.68,9:55p,10:36p,Hawaiian Airlines
HNL,LIH,2019-12-14,95,0,(),0.68,9:55p,10:36p,Hawaiian Airlines
HNL,LIH,2019-12-14,96,0,(),0.70,9:29a,10:11a,Hawaiian Airlines
HNL,LIH,2019-12-14,96,0,(),0.70,9:29a,10:11a,Hawaiian Airlines
HNL,LIH,2019-12-14,106,0,(),0.68,10:22a,11:03a,Hawaiian Airlines
HNL,LIH,2019-12-14,106,0,(),0.68,10:22a,11:03a,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.67,7:15p,7:55p,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.67,7:15p,7:55p,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.67,8:15p,8:55p,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.67,8:15p,8:55p,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.68,5:49p,6:30p,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.68,5:49p,6:30p,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.72,11:00a,11:43a,Hawaiian Airlines
HNL,LIH,2019-12-14,111,0,(),0.72,11:00a,11:43a,Hawaiian Airlines
HNL,LIH,2019-12-14,116,0,(),0.70,8:51a,9:33a,Hawaiian Airlines
HNL,LIH,2019-12-14,116,0,(),0.70,8:51a,9:33a,Hawaiian Airlines
HNL,LIH,2019-12-15,81,0,(),0.67,5:24a,6:04a,Hawaiian Airlines
HNL,LIH,2019-12-15,81,0,(),0.67,5:24a,6:04a,Hawaiian Airlines
HNL,LIH,2019-12-15,85,0,(),0.67,8:48p,9:28p,Hawaiian Airlines
HNL,LIH,2019-12-15,85,0,(),0.67,8:48p,9:28p,Hawaiian Airlines
HNL,LIH,2019-12-15,100,0,(),0.68,9:55p,10:36p,Hawaiian Airlines
HNL,LIH,2019-12-15,100,0,(),0.68,9:55p,10:36p,Hawaiian Airlines
HNL,LIH,2019-12-15,101,0,(),0.68,10:22a,11:03a,Hawaiian Airlines
HNL,LIH,2019-12-15,101,0,(),0.68,10:22a,11:03a,Hawaiian Airlines
HNL,LIH,2019-12-15,101,0,(),0.70,9:29a,10:11a,Hawaiian Airlines
HNL,LIH,2019-12-15,101,0,(),0.70,9:29a,10:11a,Hawaiian Airlines
HNL,LIH,2019-12-15,111,0,(),0.72,11:00a,11:43a,Hawaiian Airlines
HNL,LIH,2019-12-15,111,0,(),0.72,11:00a,11:43a,Hawaiian Airlines
HNL,LIH,2019-12-15,116,0,(),0.68,5:04p,5:45p,Hawaiian Airlines
HNL,LIH,2019-12-15,116,0,(),0.68,5:04p,5:45p,Hawaiian Airlines
HNL,LIH,2019-12-15,116,0,(),0.68,5:49p,6:30p,Hawaiian Airlines
HNL,LIH,2019-12-15,116,0,(),0.68,5:49p,6:30p,Hawaiian Airlines
HNL,LIH,2019-12-15,121,0,(),0.67,7:15p,7:55p,Hawaiian Airlines
HNL,LIH,2019-12-15,121,0,(),0.67,7:15p,7:55p,Hawaiian Airlines
